planner,predicted_return,sequence_model_return,sequence_true_return,selected_return_gap,model_bias,model_uncertainty,transition_error,max_pocket_score,true_max_pocket_score,min_goal_distance,model_steps,candidate_count,static_search,dataset,output_tag,seed,budget,horizon,gamma,action_library,action_count,exploration,reward_bias,dynamics_bias,uncertainty_pocket,start_label,episode_true_return,episode_max_pocket_score,simulations,tree_nodes,search_concentration,adaptive_search,root_value,episode_model_steps,episode_steps
static_rollout_pool,-23.027482426099183,-23.027482426099183,-23.031580492846203,0.004098066747019402,0.0028988463664981453,0.38273195162217233,0.0005063070510782373,0.0008584199803125329,0.0008554178432706814,1.0294928363290805,756.0,42.0,1.0,exploration_sweep,exploration_0.35,0,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-27.802009325515833,-24.702518432972013,-25.547700827955147,0.8451823949831336,0.45498766976291544,0.6635448531050919,0.10875372872062028,0.05806655647288352,0.028340456550776865,1.5570946510526427,768.0,,,exploration_sweep,exploration_0.35,0,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,46.0,47.0,0.6086956521739131,1.0,-28.760883062824124,,
static_rollout_pool,-21.80570468647983,-21.80570468647983,-21.98456300950945,0.17885832302961902,0.12165380271863876,0.4493640975345429,0.019002678270618967,0.06976586866132266,0.06886201547863492,0.8359754662200491,756.0,42.0,1.0,exploration_sweep,exploration_0.35,1,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-25.35277150719495,-32.50978179588615,-32.509799358591536,1.7562705387774713e-05,7.63449243398938e-06,0.3810853908573618,1.7310003370882457e-06,4.481879011401504e-06,4.481875082112487e-06,1.4985277343380423,768.0,,,exploration_sweep,exploration_0.35,1,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,48.0,49.0,0.7916666666666666,1.0,-26.488755931581547,,
static_rollout_pool,-25.493039562007993,-25.493039562007993,-25.65360829715111,0.16056873514311576,0.139360263333766,0.461569980536874,0.024859233621044384,0.05472226654296507,0.05009801189289325,1.089228026924188,756.0,42.0,1.0,exploration_sweep,exploration_0.35,2,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-28.76437609113936,-27.031659091058966,-27.173941193079244,0.14228210202027824,0.06527511305078788,0.42095330822031823,0.01622474345674643,0.00653200165148121,0.006296264809564614,1.6716266024481015,768.0,,,exploration_sweep,exploration_0.35,2,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,47.0,48.0,0.723404255319149,1.0,-29.397831197615986,,
static_rollout_pool,-22.28106792462932,-22.28106792462932,-22.281261748823738,0.00019382419441882348,7.129687367903122e-05,0.3811227763888502,1.5028469815316615e-05,1.6473859644031936e-05,1.6472023528847518e-05,1.028526075736858,756.0,42.0,1.0,exploration_sweep,exploration_0.35,3,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-28.277380499590322,-27.210812766535835,-27.21081315173715,3.8520131440122896e-07,1.3711389455429522e-07,0.3810809200743185,3.463301398442332e-08,6.631116727287985e-09,6.631110772141575e-09,1.7648423562729119,768.0,,,exploration_sweep,exploration_0.35,3,768,18,0.98,default9,9,0.35,1.15,0.22,0.55,base,,,47.0,48.0,0.723404255319149,1.0,-29.154400722900952,,
static_rollout_pool,-23.027482426099183,-23.027482426099183,-23.031580492846203,0.004098066747019402,0.0028988463664981453,0.38273195162217233,0.0005063070510782373,0.0008584199803125329,0.0008554178432706814,1.0294928363290805,756.0,42.0,1.0,exploration_sweep,exploration_0.75,0,768,18,0.98,default9,9,0.75,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-28.152533578357982,-27.08242967562834,-27.19642108458803,0.1139914089596914,0.055902741454017045,0.4152230253400487,0.013888176901164437,0.006372622255235684,0.0060203895901410264,1.6701197561851664,768.0,,,exploration_sweep,exploration_0.75,0,768,18,0.98,default9,9,0.75,1.15,0.22,0.55,base,,,46.0,47.0,0.6086956521739131,1.0,-28.97675199161042,,
static_rollout_pool,-21.80570468647983,-21.80570468647983,-21.98456300950945,0.17885832302961902,0.12165380271863876,0.4493640975345429,0.019002678270618967,0.06976586866132266,0.06886201547863492,0.8359754662200491,756.0,42.0,1.0,exploration_sweep,exploration_0.75,1,768,18,0.98,default9,9,0.75,1.15,0.22,0.55,base,,,,,,,,,
uct_mcts,-26.435062801956892,-30.1252191284045,-30.125221175585686,2.0471811872369017e-06,9.520652160885775e-07,0.38108140793282497,2.226559289336799e-07,4.892970445214674e-07,4.892969927546824e-07,1.5528518386201535,768.0,,,exploration_sweep,exploration_0.75,1,768,18,0.98,default9,9,0.75,1.15,0.22,0.55,base,,,47.0,48.0,0.7872340425531915,1.0,-27.36494236414704,,
static_rollout_pool,-25.493039562007993,-25.493039562007993,-25.65360829715111,0.16056873514311576,0.139360263333766,0.461569980536874,0.024859233621044384,0.05472226654296507,0.05009801189289325,1.089228026924188,756.0,42.0,1.0,exploration_sweep,exploration_0.75,2,768,18,0.98,default9,9,0.75,1.15,0.22,0.55,base,,,,,,,,,
